OrderId,Customer,Amount,Currency,TradeDate,IsActive,Region
O00039,UMBRELLA,"1,298.95",CHF,24/06/2026,N,EU
O00040,Initech,411.89,EUR,25/04/2026,Y,US
O00041,Initech,"1,029.82",CHF,25/01/2026,N,EU
O00042,ACME,"4,174.90",EUR,16/07/2026,N,US
O00043,Globex,"2,175.29",CHF,12/06/2026,N,US
O00044,Umbrella,"2,012.92",EUR,15/03/2026,Y,US
O00045,ACME,764.24,USD,25/03/2026,N,US
O00046,GLOBEX,"2,745.39",EUR,10/01/2026,Y,US
O00047,HOOLI,"3,749.99",EUR,16/07/2026,Y,EU
O00048,ACME,"1,265.16",USD,17/09/2026,N,US
O00049,Initech,"2,722.83",EUR,21/01/2026,N,EU
O00050,Hooli,"4,077.08",CHF,26/07/2026,Y,US
O00051,HOOLI,767.66,CHF,24/01/2026,Y,EU
O00052,Hooli,29.62,EUR,14/03/2026,N,EU
O00053,HOOLI,"3,628.71",CHF,20/01/2026,N,EU
O00054,ACME,"4,417.31",EUR,16/04/2026,N,US
O00055,ACME,"3,863.58",CHF,27/08/2026,Y,US
O00056,ACME,"2,221.81",CHF,26/09/2026,Y,US
O00057,INITECH,"2,267.21",CHF,26/08/2026,Y,US
O00058,Hooli,"4,383.91",USD,16/09/2026,N,EU
O00059,GLOBEX,"2,089.02",USD,20/08/2026,Y,US
O00060,Globex,"2,147.41",EUR,13/05/2026,Y,EU
O00061,INITECH,723.47,EUR,17/08/2026,Y,EU
O00062,UMBRELLA,"4,425.82",EUR,15/04/2026,N,EU
O00063,Hooli,"2,025.01",USD,21/04/2026,N,US
O00064,ACME,"3,613.53",EUR,27/06/2026,N,EU
O00065,Umbrella,"3,518.73",USD,26/06/2026,N,EU
O00066,HOOLI,"4,804.27",EUR,13/04/2026,Y,US
O00067,INITECH,"1,366.88",EUR,14/05/2026,N,EU
O00068,Initech,"2,035.68",CHF,28/09/2026,N,US
O00069,INITECH,456.42,EUR,23/03/2026,Y,EU
O00070,Initech,"4,692.37",CHF,18/02/2026,Y,EU
O00071,HOOLI,"4,282.58",EUR,13/05/2026,N,US
O00072,ACME,"1,702.37",CHF,18/07/2026,Y,US
O00073,ACME,"2,639.31",EUR,15/02/2026,N,US
O00074,ACME,913.92,USD,26/05/2026,Y,EU
O00075,Initech,"2,233.98",CHF,18/03/2026,N,EU
O00076,ACME,"4,972.55",EUR,10/01/2026,Y,EU
O00077,Hooli,"2,379.06",USD,23/02/2026,N,EU
O00078,HOOLI,"4,174.72",USD,19/09/2026,Y,US
O00079,Globex,"1,720.10",CHF,22/03/2026,N,EU
O00080,ACME,"4,186.57",EUR,18/02/2026,N,US
O00081,GLOBEX,286.45,CHF,26/07/2026,N,US
O00082,HOOLI,"1,222.45",USD,24/01/2026,Y,US
O00083,Globex,"1,352.49",EUR,21/05/2026,N,US
O00084,Hooli,"1,624.43",EUR,16/05/2026,N,US
O00085,Globex,15.33,USD,25/02/2026,N,EU
O00086,Hooli,"3,283.53",EUR,10/09/2026,Y,US
O00087,Initech,"4,087.05",EUR,28/07/2026,Y,EU
O00088,Umbrella,125.43,USD,12/04/2026,Y,US
O00089,HOOLI,"1,953.69",USD,14/08/2026,N,US
O00090,Hooli,"3,219.67",EUR,23/09/2026,Y,US
O00091,Hooli,"3,763.50",CHF,28/01/2026,Y,US
O00092,ACME,165.49,EUR,13/06/2026,N,US
O00093,Umbrella,"2,797.05",CHF,27/01/2026,Y,US
O00094,Umbrella,"1,326.33",USD,26/02/2026,Y,US
O00095,HOOLI,339.59,CHF,18/08/2026,Y,EU
O00096,Initech,"1,181.58",EUR,24/04/2026,N,EU
O00097,UMBRELLA,392.93,CHF,11/05/2026,Y,US
O00098,ACME,"3,002.53",USD,19/05/2026,Y,US
O00099,ACME,"2,417.28",USD,13/05/2026,Y,EU
O00100,Umbrella,"1,461.37",CHF,24/05/2026,N,EU
O00101,Umbrella,"3,838.18",CHF,19/04/2026,Y,EU
O00102,UMBRELLA,97.35,USD,26/02/2026,N,EU
O00103,Initech,"1,940.37",EUR,28/02/2026,Y,EU
O00104,Globex,"3,739.96",USD,14/06/2026,N,US
O00105,ACME,"3,519.65",EUR,25/08/2026,N,EU
O00106,ACME,803.74,USD,22/08/2026,N,US
O00107,GLOBEX,"2,086.74",USD,13/06/2026,N,US
O00108,ACME,"1,629.49",USD,13/07/2026,Y,US
O00109,ACME,"4,508.82",USD,21/05/2026,Y,EU
O00110,Umbrella,"1,956.90",CHF,21/02/2026,N,US
O00111,INITECH,"4,272.73",USD,11/02/2026,N,EU
O00112,Globex,"1,254.13",USD,26/07/2026,N,US
O00113,Globex,"3,868.19",USD,22/01/2026,Y,EU
O00114,ACME,256.89,CHF,24/07/2026,Y,US
O00115,INITECH,"2,433.02",CHF,15/03/2026,N,US
O00116,Umbrella,"1,724.88",USD,18/05/2026,N,US
O00117,Globex,"1,511.17",CHF,13/07/2026,Y,US
O00118,Globex,385.10,CHF,27/08/2026,Y,US
O00119,Umbrella,"4,537.04",USD,14/07/2026,Y,US
O00120,GLOBEX,462.67,USD,12/09/2026,N,EU
O00121,Globex,"1,847.84",CHF,10/04/2026,N,EU
O00122,Umbrella,"2,080.01",CHF,22/04/2026,N,US
O00123,Initech,"3,763.03",USD,28/05/2026,N,US
O00124,Globex,"3,438.44",CHF,12/04/2026,N,EU
O00125,GLOBEX,"1,928.96",CHF,23/08/2026,N,US
O00126,ACME,644.96,USD,28/08/2026,N,EU
O00127,ACME,374.96,CHF,24/08/2026,Y,US
O00128,ACME,"1,126.76",EUR,13/09/2026,N,EU
O00129,ACME,"2,761.99",EUR,14/01/2026,Y,US
O00130,Hooli,"4,600.40",CHF,14/05/2026,N,EU
O00131,Hooli,"3,185.09",CHF,13/02/2026,Y,EU
O00132,Initech,"2,626.94",CHF,22/04/2026,N,US
O00133,GLOBEX,"3,954.53",EUR,27/01/2026,N,EU
O00134,Umbrella,"1,400.23",USD,25/04/2026,Y,US
O00135,Hooli,"1,242.82",USD,11/05/2026,Y,EU
O00136,GLOBEX,"2,496.57",CHF,12/07/2026,N,US
O00137,Globex,"3,340.10",USD,25/04/2026,Y,EU
O00138,Initech,"3,594.48",USD,16/07/2026,Y,EU
O00139,Initech,"3,698.25",CHF,16/02/2026,N,US
O00140,GLOBEX,"1,565.46",EUR,24/04/2026,Y,US
O00141,Initech,"3,804.75",USD,25/02/2026,Y,EU
O00142,GLOBEX,"2,430.41",CHF,14/01/2026,N,EU
O00143,ACME,"1,072.62",CHF,23/03/2026,Y,US
O00144,ACME,928.68,USD,13/06/2026,Y,US
O00145,GLOBEX,"1,657.88",EUR,24/09/2026,Y,US
O00146,Initech,"3,325.51",USD,20/06/2026,N,US
O00147,Globex,553.70,EUR,12/05/2026,N,US
O00148,UMBRELLA,"4,778.02",EUR,16/09/2026,N,US
O00149,Initech,"3,845.97",USD,12/07/2026,Y,EU
O00150,Umbrella,985.63,CHF,16/08/2026,N,US
O00151,Initech,"3,690.34",USD,23/01/2026,Y,EU
O00152,Umbrella,212.84,EUR,12/08/2026,Y,EU
O00153,INITECH,982.76,EUR,21/06/2026,N,EU
O00154,Initech,"4,788.87",CHF,18/01/2026,N,US
O00155,Initech,"1,494.06",CHF,10/02/2026,Y,EU
O00156,ACME,"2,381.19",USD,18/07/2026,N,US
O00157,UMBRELLA,672.21,USD,10/03/2026,N,EU
O00158,Globex,"3,040.20",USD,24/06/2026,N,US
O00159,HOOLI,404.28,EUR,15/07/2026,Y,US
O00160,Umbrella,333.02,EUR,27/08/2026,N,US
O00161,Globex,"4,901.48",EUR,18/02/2026,Y,US
O00162,Globex,491.15,USD,15/08/2026,Y,US
O00163,Globex,"2,090.03",CHF,27/04/2026,Y,US
O00164,Initech,"1,475.97",CHF,21/05/2026,N,EU
O00165,Initech,"1,003.96",EUR,17/03/2026,Y,US
O00166,Globex,"1,413.96",CHF,20/04/2026,Y,EU
O00167,Umbrella,"1,265.75",EUR,26/09/2026,Y,US
O00168,ACME,"3,271.81",EUR,10/02/2026,N,US
O00169,GLOBEX,"4,204.38",USD,19/01/2026,Y,EU
O00170,ACME,256.74,CHF,12/04/2026,N,EU
O00171,HOOLI,"4,331.98",USD,10/05/2026,Y,EU
O00172,Hooli,"3,551.43",USD,11/04/2026,N,EU
O00173,Initech,715.43,EUR,11/05/2026,Y,EU
O00174,ACME,"4,095.98",USD,15/06/2026,N,EU
O00175,ACME,"1,025.00",USD,25/09/2026,Y,US
O00176,Umbrella,515.92,USD,14/09/2026,Y,EU
O00177,Globex,"1,994.88",USD,19/07/2026,N,US
O00178,UMBRELLA,"4,766.41",USD,23/06/2026,N,EU
O00179,ACME,"4,323.05",USD,22/04/2026,N,US
O00180,Globex,"4,710.52",USD,23/03/2026,Y,US
O00181,ACME,"2,037.03",USD,15/08/2026,Y,US
O00182,ACME,265.23,EUR,12/07/2026,N,US
O00183,Hooli,866.71,USD,15/05/2026,Y,EU
O00184,ACME,552.88,USD,19/04/2026,Y,EU
O00185,ACME,"4,877.98",USD,11/06/2026,N,US
O00186,ACME,"4,522.06",CHF,17/03/2026,N,EU
O00187,Hooli,"4,233.29",USD,28/03/2026,Y,US
O00188,ACME,"2,004.73",CHF,22/03/2026,N,US
O00189,ACME,755.84,CHF,11/04/2026,Y,EU
O00190,Initech,597.48,CHF,27/08/2026,N,EU
O00191,Umbrella,"1,547.98",EUR,22/07/2026,N,US
O00192,Umbrella,"2,526.92",EUR,10/01/2026,N,US
O00193,UMBRELLA,"1,183.90",CHF,15/08/2026,N,US
O00194,UMBRELLA,546.23,EUR,23/06/2026,N,EU
O00195,ACME,"4,013.39",CHF,11/09/2026,Y,US
O00196,Globex,420.38,CHF,26/06/2026,Y,EU
O00197,ACME,"3,762.77",USD,10/03/2026,Y,EU
O00198,HOOLI,"3,663.10",EUR,14/04/2026,N,US
O00199,Initech,"4,783.63",EUR,12/04/2026,N,US
O00200,Hooli,"3,783.34",EUR,18/06/2026,N,US
O00201,GLOBEX,"1,278.27",USD,28/04/2026,N,US
O00202,Hooli,"2,534.97",USD,11/06/2026,Y,EU
O00203,Globex,"2,028.12",CHF,20/05/2026,N,EU
O00204,Globex,"3,962.70",USD,26/02/2026,Y,US
O00205,Initech,"4,831.11",USD,26/09/2026,Y,EU
O00206,Initech,"4,964.84",CHF,21/07/2026,N,EU
O00207,Umbrella,"4,952.59",CHF,21/03/2026,N,EU
O00208,ACME,"2,216.99",EUR,19/01/2026,N,US
O00209,Initech,"3,199.80",CHF,10/06/2026,Y,EU
O00210,Globex,755.33,CHF,23/07/2026,N,EU
O00211,ACME,668.80,EUR,10/01/2026,Y,EU
O00212,ACME,"2,839.93",USD,26/02/2026,N,EU
O00213,Hooli,"1,129.05",CHF,28/05/2026,Y,US
O00214,Globex,"1,837.51",USD,14/03/2026,Y,EU
O00215,GLOBEX,"3,540.29",USD,12/02/2026,Y,US
O00216,Initech,"2,015.74",USD,11/01/2026,N,EU
O00217,HOOLI,"3,231.56",USD,25/09/2026,Y,US
O00218,Globex,"4,518.48",EUR,27/01/2026,Y,US
O00219,UMBRELLA,936.43,EUR,13/01/2026,Y,US
O00220,HOOLI,"2,759.11",EUR,23/03/2026,Y,US
O00221,Hooli,"3,044.33",CHF,15/07/2026,N,EU
O00222,ACME,"1,507.22",EUR,27/08/2026,Y,EU
O00223,Umbrella,"4,223.72",CHF,12/08/2026,N,EU
O00224,Globex,"1,137.48",EUR,17/05/2026,Y,US
O00225,ACME,"1,684.23",CHF,11/05/2026,N,US
O00226,HOOLI,"3,399.38",CHF,18/09/2026,N,US
O00227,Globex,436.25,CHF,15/01/2026,N,EU
O00228,Globex,"4,210.20",EUR,20/03/2026,Y,US
O00229,Umbrella,"1,649.48",EUR,27/07/2026,N,US
O00230,Umbrella,"4,200.16",CHF,10/01/2026,N,EU
O00231,GLOBEX,"2,856.00",USD,22/04/2026,Y,EU
O00232,Hooli,"4,554.84",EUR,10/01/2026,Y,US
O00233,ACME,"3,113.63",EUR,14/06/2026,Y,US
O00234,ACME,217.83,CHF,12/01/2026,Y,US
O00235,ACME,"4,283.92",USD,27/04/2026,Y,US
O00236,UMBRELLA,544.51,EUR,13/04/2026,Y,EU
O00237,ACME,"4,746.76",CHF,19/02/2026,N,US
O00238,ACME,671.94,CHF,19/04/2026,N,EU
O00239,INITECH,"2,124.59",EUR,18/06/2026,N,US
O00240,ACME,"3,581.65",USD,26/06/2026,N,EU
O00241,INITECH,"3,095.20",EUR,10/07/2026,N,EU
O00242,HOOLI,"3,867.40",USD,11/08/2026,Y,US
O00243,ACME,"2,872.40",USD,23/03/2026,Y,EU
O00244,HOOLI,"1,015.46",EUR,21/01/2026,N,EU
O00245,ACME,"2,462.51",EUR,28/08/2026,N,US
O00246,Hooli,"1,310.27",EUR,16/05/2026,Y,US
O00247,UMBRELLA,837.30,CHF,25/02/2026,Y,US
O00248,INITECH,"1,784.53",USD,12/07/2026,N,US
O00249,ACME,"1,866.03",USD,23/05/2026,Y,US
O00250,Umbrella,"4,912.23",CHF,24/04/2026,Y,US
O00251,Hooli,"2,974.50",CHF,21/01/2026,N,US
O00252,HOOLI,785.08,USD,20/09/2026,Y,US
O00253,Umbrella,"2,199.60",USD,14/04/2026,N,EU
O00254,UMBRELLA,"3,217.08",CHF,26/04/2026,Y,EU
O00255,Initech,"1,514.52",CHF,14/03/2026,Y,US
O00256,Initech,"3,018.45",USD,17/03/2026,N,US
O00257,Globex,"1,300.85",CHF,15/02/2026,Y,EU
O00258,Globex,"1,927.32",EUR,19/05/2026,N,US
O00259,Initech,988.99,CHF,18/02/2026,Y,US
O00260,Umbrella,"2,324.94",EUR,23/07/2026,Y,EU
O00261,Hooli,"4,904.60",USD,10/08/2026,Y,EU
O00262,Initech,"3,022.51",USD,17/01/2026,N,EU
O00263,Hooli,"2,941.26",CHF,17/07/2026,Y,EU
O00264,Globex,"3,211.28",USD,20/07/2026,N,EU
O00265,ACME,"4,474.77",EUR,15/07/2026,N,EU
O00266,UMBRELLA,"2,418.89",EUR,26/07/2026,Y,US
O00267,Initech,"3,893.12",USD,13/08/2026,Y,US
O00268,Initech,"2,722.46",EUR,26/04/2026,N,US
O00269,ACME,"4,237.33",USD,16/09/2026,N,US
O00270,Hooli,90.37,USD,20/09/2026,N,US
O00271,Umbrella,"1,058.35",CHF,22/03/2026,Y,EU
O00272,HOOLI,"1,783.81",EUR,18/05/2026,N,US
O00273,UMBRELLA,316.90,EUR,23/07/2026,N,US
O00274,Hooli,"1,333.14",EUR,22/05/2026,Y,US
O00275,Umbrella,"2,315.96",EUR,12/03/2026,Y,US
O00276,Umbrella,"3,214.57",CHF,14/04/2026,N,US
O00277,UMBRELLA,"2,345.82",USD,14/09/2026,N,EU
O00278,INITECH,"3,919.38",EUR,22/05/2026,N,EU
O00279,Umbrella,"3,397.30",USD,18/01/2026,N,EU
O00280,GLOBEX,"3,275.47",USD,25/08/2026,N,EU
O00281,Hooli,"3,190.13",CHF,14/06/2026,N,EU
O00282,Umbrella,294.74,CHF,14/06/2026,N,US
O00283,Hooli,84.78,EUR,12/04/2026,N,US
O00284,Initech,"3,044.92",CHF,17/03/2026,Y,EU
O00285,UMBRELLA,"1,738.76",EUR,22/04/2026,Y,EU
O00286,Hooli,"4,456.77",CHF,27/02/2026,N,EU
O00287,Globex,"2,477.36",EUR,12/09/2026,N,US
O00288,ACME,"2,779.77",USD,17/07/2026,Y,US
O00289,Umbrella,"2,470.45",EUR,24/08/2026,Y,US
O00290,Umbrella,"1,240.37",EUR,10/09/2026,Y,EU
O00291,INITECH,"2,345.12",CHF,19/08/2026,N,US
O00292,INITECH,"2,134.81",CHF,15/02/2026,N,US
O00293,ACME,112.59,EUR,13/06/2026,N,EU
O00294,Umbrella,"3,788.29",EUR,16/01/2026,N,US
O00295,Globex,"1,699.65",CHF,20/06/2026,N,US
O00296,Hooli,"2,775.09",EUR,23/05/2026,N,US
O00297,Umbrella,"1,265.34",EUR,19/05/2026,N,EU
O00298,Umbrella,"2,024.61",CHF,26/05/2026,N,US
O00299,GLOBEX,"3,276.25",EUR,16/06/2026,N,EU
O00300,Initech,646.58,CHF,11/02/2026,N,US
O00301,HOOLI,"4,429.15",CHF,22/01/2026,N,US
O00302,ACME,40.99,EUR,11/08/2026,N,US
O00303,Hooli,743.79,CHF,16/02/2026,Y,EU
O00304,UMBRELLA,"3,130.14",EUR,15/02/2026,Y,US
O00305,Umbrella,"3,874.93",CHF,21/01/2026,Y,US
O00306,Initech,"2,814.89",USD,15/05/2026,N,US
O00307,ACME,"1,599.20",USD,25/01/2026,Y,US
O00308,ACME,"3,871.15",USD,24/07/2026,Y,EU
O00309,ACME,"3,403.01",CHF,25/03/2026,N,US
O00310,HOOLI,519.20,CHF,16/08/2026,Y,EU
O00311,ACME,"2,140.73",EUR,12/02/2026,Y,EU
O00312,ACME,653.55,EUR,28/05/2026,Y,EU
O00313,Umbrella,"3,670.45",EUR,21/01/2026,Y,US
O00314,ACME,"1,472.79",CHF,24/08/2026,N,US
O00315,ACME,"3,588.88",EUR,10/01/2026,Y,US
O00316,Umbrella,"1,562.20",CHF,25/03/2026,Y,EU
O00317,INITECH,"1,844.15",CHF,25/08/2026,Y,US
O00318,Globex,"4,832.11",EUR,15/06/2026,N,US
O00319,Umbrella,"1,931.57",USD,28/05/2026,N,US
O00320,INITECH,"1,406.74",CHF,10/06/2026,Y,EU
O00321,Hooli,"4,164.80",CHF,17/07/2026,N,US
O00322,Umbrella,"3,427.26",GBP,24/04/2026,N,US
O00323,ACME,"1,614.41",USD,15/07/2026,Y,US
O00324,INITECH,"4,167.82",CHF,18/03/2026,N,US
O00325,INITECH,"2,677.44",CHF,25/09/2026,N,EU
O00326,Globex,"3,940.57",CHF,19/04/2026,Y,US
O00327,Umbrella,"2,331.96",EUR,28/05/2026,Y,EU
O00328,Umbrella,"2,303.99",EUR,21/09/2026,Y,US
O00329,Globex,"1,996.95",CHF,26/05/2026,N,US
O00330,Umbrella,"2,540.03",EUR,16/04/2026,Y,US
O00331,ACME,911.66,CHF,21/05/2026,N,EU
O00332,Umbrella,"3,901.91",EUR,11/04/2026,N,US
O00333,Initech,"4,333.20",USD,12/08/2026,Y,EU
O00334,Initech,"2,990.09",USD,26/05/2026,Y,EU
O00335,ACME,177.56,CHF,28/08/2026,Y,US
O00336,Initech,"4,628.22",USD,13/07/2026,N,EU
O00337,Hooli,"4,095.97",EUR,11/05/2026,N,US
O00338,GLOBEX,"4,973.13",USD,10/02/2026,Y,EU
O00339,ACME,"2,791.33",CHF,25/08/2026,Y,EU
O00340,Hooli,"3,202.81",EUR,18/02/2026,N,EU
O00341,Hooli,"1,173.71",EUR,22/09/2026,Y,US
O00342,Umbrella,"4,249.98",USD,17/04/2026,Y,US
O00343,ACME,"4,709.15",USD,27/01/2026,Y,EU
O00344,ACME,"1,295.86",CHF,11/08/2026,Y,EU
O00345,GLOBEX,"1,595.24",EUR,19/04/2026,N,US
O00346,ACME,"2,358.92",USD,22/05/2026,Y,EU
O00347,INITECH,"2,411.75",EUR,17/08/2026,Y,EU
O00348,ACME,"2,344.81",EUR,15/01/2026,Y,EU
O00349,ACME,"4,670.54",USD,24/03/2026,Y,EU
O00350,UMBRELLA,"4,212.82",CHF,24/02/2026,N,EU
O00351,Initech,"4,117.07",USD,21/02/2026,Y,US
O00352,Initech,"1,116.04",EUR,24/03/2026,Y,EU
O00353,Umbrella,"4,354.91",USD,23/07/2026,Y,EU
O00354,GLOBEX,136.85,CHF,20/05/2026,Y,EU
O00355,Initech,"2,460.12",USD,25/08/2026,Y,EU
O00356,Globex,"4,893.32",EUR,27/04/2026,N,US
O00357,Initech,604.75,EUR,23/06/2026,N,EU
O00358,Globex,"4,626.15",EUR,19/07/2026,N,EU
O00359,Globex,296.84,CHF,14/05/2026,Y,EU
O00360,Umbrella,"4,037.05",USD,14/09/2026,N,EU
O00361,ACME,"3,949.93",CHF,15/05/2026,N,EU
O00362,Umbrella,212.33,USD,18/04/2026,Y,EU
O00363,Globex,"4,218.42",CHF,15/04/2026,Y,EU
O00364,Hooli,405.54,EUR,18/08/2026,Y,US
O00365,GLOBEX,693.83,CHF,28/04/2026,N,EU
O00366,GLOBEX,60.08,CHF,23/09/2026,Y,US
O00367,HOOLI,"4,055.13",GBP,25/05/2026,Y,US
O00368,ACME,"2,053.49",USD,18/03/2026,Y,US
O00369,Globex,"2,820.01",USD,15/01/2026,N,EU
O00370,Hooli,"2,978.53",EUR,26/06/2026,N,US
O00371,Hooli,366.00,USD,20/04/2026,N,US
O00372,Hooli,"3,759.07",EUR,13/05/2026,N,EU
O00373,Umbrella,"2,571.44",CHF,14/09/2026,Y,US
O00374,Globex,"4,837.46",EUR,15/03/2026,Y,US
O00375,Initech,"1,264.61",EUR,13/01/2026,Y,US
O00376,Initech,98.26,CHF,26/08/2026,Y,US
O00377,Umbrella,523.29,EUR,11/03/2026,N,EU
O00378,ACME,"2,329.58",CHF,18/09/2026,Y,EU
O00379,ACME,616.50,EUR,28/09/2026,Y,US
O00380,Globex,744.63,CHF,22/08/2026,Y,US
O00381,ACME,"4,688.53",USD,26/07/2026,Y,EU
O00382,Umbrella,"4,852.75",EUR,20/06/2026,N,US
O00383,Globex,"4,194.46",CHF,28/07/2026,N,US
O00384,Umbrella,"4,235.89",EUR,26/06/2026,Y,EU
O00385,Initech,"1,253.93",USD,21/01/2026,Y,EU
O00386,Hooli,945.60,USD,16/07/2026,Y,EU
O00387,Globex,705.64,USD,11/08/2026,Y,US
O00388,ACME,"4,329.38",CHF,18/05/2026,Y,EU
O00389,Hooli,507.20,EUR,10/09/2026,N,EU
O00390,Globex,"4,754.82",USD,19/02/2026,N,EU
O00391,Globex,610.70,CHF,18/09/2026,Y,EU
O00392,Umbrella,"2,955.34",EUR,13/08/2026,Y,EU
O00393,Initech,"4,578.78",CHF,18/05/2026,Y,EU
O00394,ACME,"3,704.61",USD,28/08/2026,Y,US
O00395,UMBRELLA,"1,013.95",CHF,24/06/2026,N,EU
O00396,Hooli,"2,394.50",USD,17/01/2026,N,US
O00397,Globex,952.13,CHF,28/07/2026,N,EU
O00398,ACME,"4,621.72",EUR,20/04/2026,N,EU
O00399,Umbrella,"1,356.94",EUR,11/05/2026,Y,EU
O00400,Globex,"2,760.13",CHF,24/06/2026,Y,US
O00401,HOOLI,"1,945.56",USD,13/06/2026,Y,US
O00402,Globex,"2,089.59",CHF,14/06/2026,Y,EU
O00403,Hooli,"3,057.68",USD,13/09/2026,N,EU
O00404,Initech,"3,926.86",CHF,23/03/2026,Y,US
O00405,ACME,"2,057.98",CHF,25/02/2026,N,US
O00406,HOOLI,755.75,USD,22/02/2026,N,US
O00407,Umbrella,"1,451.47",USD,21/05/2026,N,US
O00408,Hooli,"2,781.20",USD,10/06/2026,N,US
O00409,UMBRELLA,"2,225.71",EUR,19/09/2026,Y,US
O00410,Umbrella,"2,881.41",CHF,12/04/2026,N,EU
O00411,Initech,"4,845.06",CHF,20/04/2026,Y,US
O00412,UMBRELLA,"4,457.36",EUR,11/01/2026,N,US
O00413,Hooli,"4,480.50",USD,19/09/2026,N,US
O00414,Hooli,"4,130.12",CHF,22/07/2026,N,EU
O00415,Initech,213.15,CHF,24/06/2026,Y,EU
O00416,ACME,"2,630.99",EUR,21/07/2026,N,US
O00417,Hooli,"4,642.78",EUR,23/04/2026,N,EU
O00418,UMBRELLA,"2,206.42",CHF,26/06/2026,Y,EU
O00419,Globex,"1,819.96",USD,19/02/2026,Y,US
O00420,ACME,"3,283.07",USD,26/06/2026,N,US
O00421,Globex,"2,625.04",CHF,26/04/2026,Y,EU
O00422,UMBRELLA,920.23,CHF,21/02/2026,Y,US
O00423,Umbrella,63.56,EUR,27/05/2026,Y,EU
O00424,INITECH,"1,993.85",EUR,10/01/2026,Y,EU
O00425,GLOBEX,"2,494.33",CHF,27/05/2026,Y,EU
O00426,Hooli,"1,000.75",CHF,14/02/2026,Y,EU
O00427,HOOLI,"3,799.88",EUR,13/01/2026,Y,EU
O00428,GLOBEX,"4,739.70",USD,23/08/2026,Y,EU
O00429,ACME,"3,425.98",CHF,14/06/2026,Y,EU
O00430,Initech,"1,384.48",EUR,13/05/2026,Y,US
O00431,INITECH,966.35,CHF,10/07/2026,Y,US
O00432,Globex,"4,448.86",CHF,24/01/2026,Y,US
O00433,Hooli,"1,199.08",EUR,15/01/2026,Y,EU
O00434,Initech,40.76,USD,23/05/2026,N,EU
O00435,Umbrella,"4,897.91",EUR,22/04/2026,Y,US
O00436,Umbrella,"1,552.70",CHF,10/08/2026,Y,EU
O00437,ACME,875.60,USD,15/07/2026,Y,US
O00438,Initech,"1,986.17",USD,20/02/2026,N,EU
O00439,Initech,"2,021.95",EUR,23/02/2026,N,EU
O00440,Hooli,"1,232.23",EUR,19/08/2026,N,EU
O00441,Globex,"2,183.53",USD,20/01/2026,Y,US
O00442,Globex,"3,532.30",EUR,18/04/2026,Y,EU
O00443,Hooli,"2,222.11",EUR,21/03/2026,N,US
O00444,Globex,"3,615.11",USD,19/04/2026,N,US
O00445,Hooli,"1,030.18",USD,18/03/2026,N,US
O00446,Hooli,"4,949.96",CHF,22/04/2026,Y,EU
O00447,Globex,"4,363.23",EUR,12/09/2026,N,US
O00448,Umbrella,153.30,CHF,19/03/2026,Y,EU
O00449,Umbrella,"3,556.42",CHF,17/03/2026,N,US
