order_id,customer,amount,ccy,trade_date,active
O00072,ACME,1702.37,CHF,2026-07-18,True
O00073,ACME,2639.31,EUR,2026-02-15,False
O00074,ACME,913.92,USD,2026-05-26,True
O00075,Initech,2233.98,CHF,2026-03-18,False
O00076,ACME,4972.55,EUR,2026-01-10,True
O00077,Hooli,2379.06,USD,2026-02-23,False
O00078,Hooli,4174.72,USD,2026-09-19,True
O00079,Globex,1720.1,CHF,2026-03-22,False
O00080,ACME,4186.57,EUR,2026-02-18,False
O00081,Globex,286.45,CHF,2026-07-26,False
O00082,Hooli,1218.64,USD,2026-01-24,True
O00083,Globex,1352.49,EUR,2026-05-21,False
O00084,Hooli,1624.43,EUR,2026-05-16,False
O00085,Globex,15.33,USD,2026-02-25,False
O00086,Hooli,3283.53,EUR,2026-09-10,True
O00087,Initech,4087.05,EUR,2026-07-28,True
O00088,Umbrella,122.25,USD,2026-04-12,True
O00089,Hooli,1953.69,USD,2026-08-14,False
O00090,Hooli,3219.67,EUR,2026-09-23,True
O00091,Hooli,3766.81,CHF,2026-01-28,True
O00092,ACME,165.49,EUR,2026-06-13,False
O00093,Umbrella,2797.05,CHF,2026-01-27,True
O00094,Umbrella,1326.33,USD,2026-02-26,True
O00095,Hooli,339.59,CHF,2026-08-18,True
O00096,Initech,1181.58,EUR,2026-04-24,False
O00097,Umbrella,392.93,CHF,2026-05-11,True
O00098,ACME,3002.53,USD,2026-05-19,True
O00099,ACME,2417.28,USD,2026-05-13,True
O00100,Umbrella,1461.37,CHF,2026-05-24,False
O00101,Umbrella,3838.18,CHF,2026-04-19,True
O00102,Umbrella,97.35,USD,2026-02-26,False
O00103,Initech,1940.37,EUR,2026-02-28,True
O00104,Globex,3739.96,USD,2026-06-14,False
O00105,ACME,3519.65,EUR,2026-08-25,False
O00106,ACME,803.74,USD,2026-08-22,False
O00107,Globex,2086.74,USD,2026-06-13,False
O00108,ACME,1629.49,USD,2026-07-13,True
O00109,ACME,4508.82,USD,2026-05-21,True
O00110,Umbrella,1956.9,CHF,2026-02-21,False
O00111,Initech,4272.73,USD,2026-02-11,False
O00112,Globex,1254.13,USD,2026-07-26,False
O00113,Globex,3868.19,USD,2026-01-22,True
O00114,ACME,256.89,CHF,2026-07-24,True
O00115,Initech,2433.02,CHF,2026-03-15,False
O00116,Umbrella,1724.88,USD,2026-05-18,False
O00117,Globex,1511.17,CHF,2026-07-13,True
O00118,Globex,385.1,CHF,2026-08-27,True
O00119,Umbrella,4532.23,USD,2026-07-14,True
O00120,Globex,462.67,USD,2026-09-12,False
O00121,Globex,1847.84,CHF,2026-04-10,False
O00122,Umbrella,2075.28,CHF,2026-04-22,False
O00123,Initech,3763.03,USD,2026-05-28,False
O00124,Globex,3436.9,CHF,2026-04-12,False
O00125,Globex,1928.96,CHF,2026-08-23,False
O00126,ACME,644.96,USD,2026-08-28,False
O00127,ACME,374.96,CHF,2026-08-24,True
O00128,ACME,1126.76,EUR,2026-09-13,False
O00129,ACME,2761.99,EUR,2026-01-14,True
O00130,Hooli,4600.4,CHF,2026-05-14,False
O00131,Hooli,3185.09,CHF,2026-02-13,True
O00132,Initech,2626.94,CHF,2026-04-22,False
O00133,Globex,3954.53,EUR,2026-01-27,False
O00134,Umbrella,1400.23,USD,2026-04-25,True
O00135,Hooli,1242.82,USD,2026-05-11,True
O00136,Globex,2496.57,CHF,2026-07-12,False
O00137,Globex,3340.1,USD,2026-04-25,True
O00138,Initech,3594.48,USD,2026-07-16,True
O00139,Initech,3698.25,CHF,2026-02-16,False
O00140,Globex,1565.46,EUR,2026-04-24,True
O00141,Initech,3804.75,USD,2026-02-25,True
O00142,Globex,2430.41,CHF,2026-01-14,False
O00143,ACME,1072.62,CHF,2026-03-23,True
O00144,ACME,928.68,USD,2026-06-13,True
O00145,Globex,1652.92,EUR,2026-09-24,True
O00146,Initech,3325.51,USD,2026-06-20,False
O00147,Globex,553.7,EUR,2026-05-12,False
O00148,Umbrella,4778.02,EUR,2026-09-16,False
O00149,Initech,3845.97,USD,2026-07-12,True
O00150,Umbrella,986.62,CHF,2026-08-16,False
O00151,Initech,3689.23,USD,2026-01-23,True
O00152,Umbrella,212.84,EUR,2026-08-12,True
O00153,Initech,982.76,EUR,2026-06-21,False
O00154,Initech,4788.87,CHF,2026-01-18,False
O00155,Initech,1494.06,CHF,2026-02-10,True
O00156,ACME,2381.19,USD,2026-07-18,False
O00157,Umbrella,672.21,USD,2026-03-10,False
O00158,Globex,3040.2,USD,2026-06-24,False
O00159,Hooli,404.28,EUR,2026-07-15,True
O00160,Umbrella,333.02,EUR,2026-08-27,False
O00161,Globex,4901.48,EUR,2026-02-18,True
O00162,Globex,491.15,USD,2026-08-15,True
O00163,Globex,2090.03,CHF,2026-04-27,True
O00164,Initech,1475.97,CHF,2026-05-21,False
O00165,Initech,1003.96,EUR,2026-03-17,True
O00166,Globex,1413.96,CHF,2026-04-20,True
O00167,Umbrella,1265.75,EUR,2026-09-26,True
O00168,ACME,3270.1,EUR,2026-02-10,False
O00169,Globex,4204.38,USD,2026-01-19,True
O00170,ACME,261.45,CHF,2026-04-12,False
O00171,Hooli,4331.98,USD,2026-05-10,True
O00172,Hooli,3551.43,USD,2026-04-11,False
O00173,Initech,715.43,EUR,2026-05-11,True
O00174,ACME,4095.98,USD,2026-06-15,False
O00175,ACME,1025.0,USD,2026-09-25,True
O00176,Umbrella,515.92,USD,2026-09-14,True
O00177,Globex,1994.88,USD,2026-07-19,False
O00178,Umbrella,4766.41,USD,2026-06-23,False
O00179,ACME,4322.59,USD,2026-04-22,False
O00180,Globex,4710.52,USD,2026-03-23,True
O00181,ACME,2037.03,USD,2026-08-15,True
O00182,ACME,267.96,EUR,2026-07-12,False
O00183,Hooli,866.71,USD,2026-05-15,True
O00184,ACME,552.88,USD,2026-04-19,True
O00185,ACME,4877.98,USD,2026-06-11,False
O00186,ACME,4522.06,CHF,2026-03-17,False
O00187,Hooli,4233.29,USD,2026-03-28,True
O00188,ACME,2004.73,CHF,2026-03-22,False
O00189,ACME,755.84,CHF,2026-04-11,True
O00190,Initech,597.48,CHF,2026-08-27,False
O00191,Umbrella,1547.98,EUR,2026-07-22,False
O00192,Umbrella,2522.86,EUR,2026-01-10,False
O00193,Umbrella,1183.9,CHF,2026-08-15,False
O00194,Umbrella,544.31,EUR,2026-06-23,False
O00195,ACME,4013.39,CHF,2026-09-11,True
O00196,Globex,420.38,CHF,2026-06-26,True
O00197,ACME,3762.77,USD,2026-03-10,True
O00198,Hooli,3663.1,EUR,2026-04-14,False
O00199,Initech,4783.63,EUR,2026-04-12,False
O00200,Hooli,3783.34,EUR,2026-06-18,False
O00201,Globex,1278.27,USD,2026-04-28,False
O00202,Hooli,2534.97,USD,2026-06-11,True
O00203,Globex,2023.29,CHF,2026-05-20,False
O00204,Globex,3962.7,USD,2026-02-26,True
O00205,Initech,4831.11,USD,2026-09-26,True
O00206,Initech,4964.84,CHF,2026-07-21,False
O00207,Umbrella,4952.59,CHF,2026-03-21,False
O00208,ACME,2216.99,EUR,2026-01-19,False
O00209,Initech,3199.8,CHF,2026-06-10,True
O00210,Globex,755.33,CHF,2026-07-23,False
O00211,ACME,668.8,EUR,2026-01-10,True
O00212,ACME,2839.93,USD,2026-02-26,False
O00213,Hooli,1129.05,CHF,2026-05-28,True
O00214,Globex,1837.51,USD,2026-03-14,True
O00215,Globex,3540.29,USD,2026-02-12,True
O00216,Initech,2015.74,USD,2026-01-11,False
O00217,Hooli,3231.56,USD,2026-09-25,True
O00218,Globex,4518.48,EUR,2026-01-27,True
O00219,Umbrella,936.43,EUR,2026-01-13,True
O00220,Hooli,2759.11,EUR,2026-03-23,True
O00221,Hooli,3044.33,CHF,2026-07-15,False
O00222,ACME,1508.33,EUR,2026-08-27,True
O00223,Umbrella,4223.72,CHF,2026-08-12,False
O00224,Globex,1137.48,EUR,2026-05-17,True
O00225,ACME,1684.23,CHF,2026-05-11,False
O00226,Hooli,3399.38,CHF,2026-09-18,False
O00227,Globex,436.25,CHF,2026-01-15,False
O00228,Globex,4210.2,EUR,2026-03-20,True
O00229,Umbrella,1649.48,EUR,2026-07-27,False
O00230,Umbrella,4200.16,CHF,2026-01-10,False
O00231,Globex,2856.0,USD,2026-04-22,True
O00232,Hooli,4554.84,EUR,2026-01-10,True
O00233,ACME,3113.63,EUR,2026-06-14,True
O00234,ACME,217.83,CHF,2026-01-12,True
O00235,ACME,4283.92,USD,2026-04-27,True
O00236,Umbrella,544.51,EUR,2026-04-13,True
O00237,ACME,4746.76,CHF,2026-02-19,False
O00238,ACME,671.94,CHF,2026-04-19,False
O00239,Initech,2124.59,EUR,2026-06-18,False
O00240,ACME,3581.65,USD,2026-06-26,False
O00241,Initech,3095.2,EUR,2026-07-10,False
O00242,Hooli,3867.4,USD,2026-08-11,True
O00243,ACME,2876.96,USD,2026-03-23,True
O00244,Hooli,1018.16,EUR,2026-01-21,False
O00245,ACME,2462.51,EUR,2026-08-28,False
O00246,Hooli,1310.27,EUR,2026-05-16,True
O00247,Umbrella,837.3,CHF,2026-02-25,True
O00248,Initech,1784.53,USD,2026-07-12,False
O00249,ACME,1866.03,USD,2026-05-23,True
O00250,Umbrella,4912.23,CHF,2026-04-24,True
O00251,Hooli,2974.5,CHF,2026-01-21,False
O00252,Hooli,785.08,USD,2026-09-20,True
O00253,Umbrella,2199.6,USD,2026-04-14,False
O00254,Umbrella,3217.08,CHF,2026-04-26,True
O00255,Initech,1514.52,CHF,2026-03-14,True
O00256,Initech,3018.45,USD,2026-03-17,False
O00257,Globex,1300.85,CHF,2026-02-15,True
O00258,Globex,1927.32,EUR,2026-05-19,False
O00259,Initech,988.99,CHF,2026-02-18,True
O00260,Umbrella,2324.94,EUR,2026-07-23,True
O00261,Hooli,4904.6,USD,2026-08-10,True
O00262,Initech,3022.51,USD,2026-01-17,False
O00263,Hooli,2941.26,CHF,2026-07-17,True
O00264,Globex,3211.28,USD,2026-07-20,False
O00265,ACME,4474.77,EUR,2026-07-15,False
O00266,Umbrella,2418.89,EUR,2026-07-26,True
O00267,Initech,3893.12,USD,2026-08-13,True
O00268,Initech,2721.37,EUR,2026-04-26,False
O00269,ACME,4237.33,USD,2026-09-16,False
O00270,Hooli,90.37,USD,2026-09-20,False
O00271,Umbrella,1058.35,CHF,2026-03-22,True
O00272,Hooli,1783.81,EUR,2026-05-18,False
O00273,Umbrella,316.9,EUR,2026-07-23,False
O00274,Hooli,1333.14,EUR,2026-05-22,True
O00275,Umbrella,2315.96,EUR,2026-03-12,True
O00276,Umbrella,3214.57,CHF,2026-04-14,False
O00277,Umbrella,2345.82,USD,2026-09-14,False
O00278,Initech,3920.13,EUR,2026-05-22,False
O00279,Umbrella,3397.3,USD,2026-01-18,False
O00280,Globex,3275.47,USD,2026-08-25,False
O00281,Hooli,3190.13,CHF,2026-06-14,False
O00282,Umbrella,294.74,CHF,2026-06-14,False
O00283,Hooli,84.78,EUR,2026-04-12,False
O00284,Initech,3044.92,CHF,2026-03-17,True
O00285,Umbrella,1738.76,EUR,2026-04-22,True
O00286,Hooli,4456.77,CHF,2026-02-27,False
O00287,Globex,2477.36,EUR,2026-09-12,False
O00288,ACME,2779.77,USD,2026-07-17,True
O00289,Umbrella,2470.45,EUR,2026-08-24,True
O00290,Umbrella,1240.37,EUR,2026-09-10,True
O00291,Initech,2345.12,CHF,2026-08-19,False
O00292,Initech,2134.81,CHF,2026-02-15,False
O00293,ACME,112.59,EUR,2026-06-13,False
O00294,Umbrella,3788.29,EUR,2026-01-16,False
O00295,Globex,1699.65,CHF,2026-06-20,False
O00296,Hooli,2775.09,EUR,2026-05-23,False
O00297,Umbrella,1265.34,EUR,2026-05-19,False
O00298,Umbrella,2024.61,CHF,2026-05-26,False
O00299,Globex,3276.25,EUR,2026-06-16,False
O00300,Initech,646.58,CHF,2026-02-11,False
O00301,Hooli,4429.15,CHF,2026-01-22,False
O00302,ACME,40.99,EUR,2026-08-11,False
O00303,Hooli,743.79,CHF,2026-02-16,True
O00304,Umbrella,3130.14,EUR,2026-02-15,True
O00305,Umbrella,3874.93,CHF,2026-01-21,True
O00306,Initech,2814.89,USD,2026-05-15,False
O00307,ACME,1599.2,USD,2026-01-25,True
O00308,ACME,3871.15,USD,2026-07-24,True
O00309,ACME,3403.01,CHF,2026-03-25,False
O00310,Hooli,519.2,CHF,2026-08-16,True
O00311,ACME,2140.73,EUR,2026-02-12,True
O00312,ACME,653.55,EUR,2026-05-28,True
O00313,Umbrella,3670.45,EUR,2026-01-21,True
O00314,ACME,1472.79,CHF,2026-08-24,False
O00315,ACME,3588.88,EUR,2026-01-10,True
O00316,Umbrella,1562.2,CHF,2026-03-25,True
O00317,Initech,1844.15,CHF,2026-08-25,True
O00318,Globex,4832.11,EUR,2026-06-15,False
O00319,Umbrella,1934.83,USD,2026-05-28,False
O00320,Initech,1406.74,CHF,2026-06-10,True
O00321,Hooli,4164.8,CHF,2026-07-17,False
O00322,Umbrella,3427.26,CHF,2026-04-24,False
O00323,ACME,1614.41,USD,2026-07-15,True
O00324,Initech,4167.82,CHF,2026-03-18,False
O00325,Initech,2677.44,CHF,2026-09-25,False
O00326,Globex,3940.57,CHF,2026-04-19,True
O00327,Umbrella,2331.96,EUR,2026-05-28,True
O00328,Umbrella,2303.99,EUR,2026-09-21,True
O00329,Globex,1996.95,CHF,2026-05-26,False
O00330,Umbrella,2535.78,EUR,2026-04-16,True
O00331,ACME,911.66,CHF,2026-05-21,False
O00332,Umbrella,3900.4,EUR,2026-04-11,False
O00333,Initech,4333.2,USD,2026-08-12,True
O00334,Initech,2990.09,USD,2026-05-26,True
O00335,ACME,177.56,CHF,2026-08-28,True
O00336,Initech,4628.22,USD,2026-07-13,False
O00337,Hooli,4095.97,EUR,2026-05-11,False
O00338,Globex,4973.13,USD,2026-02-10,True
O00339,ACME,2791.33,CHF,2026-08-25,True
O00340,Hooli,3202.81,EUR,2026-02-18,False
O00341,Hooli,1173.71,EUR,2026-09-22,True
O00342,Umbrella,4249.98,USD,2026-04-17,True
O00343,ACME,4709.15,USD,2026-01-27,True
O00344,ACME,1296.94,CHF,2026-08-11,True
O00345,Globex,1595.24,EUR,2026-04-19,False
O00346,ACME,2358.92,USD,2026-05-22,True
O00347,Initech,2411.75,EUR,2026-08-17,True
O00348,ACME,2344.81,EUR,2026-01-15,True
O00349,ACME,4670.54,USD,2026-03-24,True
O00350,Umbrella,4212.82,CHF,2026-02-24,False
O00351,Initech,4117.07,USD,2026-02-21,True
O00352,Initech,1116.04,EUR,2026-03-24,True
O00353,Umbrella,4354.91,USD,2026-07-23,True
O00354,Globex,136.85,CHF,2026-05-20,True
O00355,Initech,2460.12,USD,2026-08-25,True
O00356,Globex,4893.32,EUR,2026-04-27,False
O00357,Initech,604.75,EUR,2026-06-23,False
O00358,Globex,4626.15,EUR,2026-07-19,False
O00359,Globex,296.84,CHF,2026-05-14,True
O00360,Umbrella,4037.05,USD,2026-09-14,False
O00361,ACME,3949.93,CHF,2026-05-15,False
O00362,Umbrella,212.33,USD,2026-04-18,True
O00363,Globex,4218.42,CHF,2026-04-15,True
O00364,Hooli,405.54,EUR,2026-08-18,True
O00365,Globex,693.83,CHF,2026-04-28,False
O00366,Globex,60.08,CHF,2026-09-23,True
O00367,Hooli,4055.13,USD,2026-05-25,True
O00368,ACME,2053.49,USD,2026-03-18,True
O00369,Globex,2820.01,USD,2026-01-15,False
O00370,Hooli,2978.53,EUR,2026-06-26,False
O00371,Hooli,366.0,USD,2026-04-20,False
O00372,Hooli,3759.07,EUR,2026-05-13,False
O00373,Umbrella,2571.44,CHF,2026-09-14,True
O00374,Globex,4837.46,EUR,2026-03-15,True
O00375,Initech,1259.79,EUR,2026-01-13,True
O00376,Initech,98.26,CHF,2026-08-26,True
O00377,Umbrella,523.29,EUR,2026-03-11,False
O00378,ACME,2329.58,CHF,2026-09-18,True
O00379,ACME,616.5,EUR,2026-09-28,True
O00380,Globex,744.63,CHF,2026-08-22,True
O00381,ACME,4688.53,USD,2026-07-26,True
O00382,Umbrella,4852.75,EUR,2026-06-20,False
O00383,Globex,4194.46,CHF,2026-07-28,False
O00384,Umbrella,4239.68,EUR,2026-06-26,True
O00385,Initech,1253.93,USD,2026-01-21,True
O00386,Hooli,945.6,USD,2026-07-16,True
O00387,Globex,705.64,USD,2026-08-11,True
O00388,ACME,4329.38,CHF,2026-05-18,True
O00389,Hooli,511.52,EUR,2026-09-10,False
O00390,Globex,4754.82,USD,2026-02-19,False
O00391,Globex,610.7,CHF,2026-09-18,True
O00392,Umbrella,2955.34,EUR,2026-08-13,True
O00393,Initech,4578.78,CHF,2026-05-18,True
O00394,ACME,3704.61,USD,2026-08-28,True
O00395,Umbrella,1013.95,CHF,2026-06-24,False
O00396,Hooli,2394.5,USD,2026-01-17,False
O00397,Globex,952.13,CHF,2026-07-28,False
O00398,ACME,4621.72,EUR,2026-04-20,False
O00399,Umbrella,1356.94,EUR,2026-05-11,True
O00400,Globex,2760.13,CHF,2026-06-24,True
O00401,Hooli,1945.56,USD,2026-06-13,True
O00402,Globex,2089.59,CHF,2026-06-14,True
O00403,Hooli,3057.68,USD,2026-09-13,False
O00404,Initech,3926.86,CHF,2026-03-23,True
O00405,ACME,2057.98,CHF,2026-02-25,False
O00406,Hooli,756.67,USD,2026-02-22,False
O00407,Umbrella,1447.43,USD,2026-05-21,False
O00408,Hooli,2781.2,USD,2026-06-10,False
O00409,Umbrella,2225.71,EUR,2026-09-19,True
O00410,Umbrella,2881.41,CHF,2026-04-12,False
O00411,Initech,4845.06,CHF,2026-04-20,True
O00412,Umbrella,4457.36,EUR,2026-01-11,False
O00413,Hooli,4480.5,USD,2026-09-19,False
O00414,Hooli,4130.12,CHF,2026-07-22,False
O00415,Initech,213.15,CHF,2026-06-24,True
O00416,ACME,2630.99,EUR,2026-07-21,False
O00417,Hooli,4642.78,EUR,2026-04-23,False
O00418,Umbrella,2206.42,CHF,2026-06-26,True
O00419,Globex,1819.96,USD,2026-02-19,True
O00420,ACME,3283.07,USD,2026-06-26,False
O00421,Globex,2625.04,CHF,2026-04-26,True
O00422,Umbrella,920.23,CHF,2026-02-21,True
O00423,Umbrella,63.56,EUR,2026-05-27,True
O00424,Initech,1993.85,EUR,2026-01-10,True
O00425,Globex,2494.33,CHF,2026-05-27,True
O00426,Hooli,1000.75,CHF,2026-02-14,True
O00427,Hooli,3799.88,EUR,2026-01-13,True
O00428,Globex,4739.7,USD,2026-08-23,True
O00429,ACME,3425.98,CHF,2026-06-14,True
O00430,Initech,1384.48,EUR,2026-05-13,True
O00431,Initech,966.35,CHF,2026-07-10,True
O00432,Globex,4453.8,CHF,2026-01-24,True
O00433,Hooli,1199.08,EUR,2026-01-15,True
O00434,Initech,40.76,USD,2026-05-23,False
O00435,Umbrella,4897.91,EUR,2026-04-22,True
O00436,Umbrella,1552.7,CHF,2026-08-10,True
O00437,ACME,875.6,USD,2026-07-15,True
O00438,Initech,1986.17,USD,2026-02-20,False
O00439,Initech,2021.95,EUR,2026-02-23,False
O00440,Hooli,1232.23,EUR,2026-08-19,False
O00441,Globex,2183.53,USD,2026-01-20,True
O00442,Globex,3532.3,EUR,2026-04-18,True
O00443,Hooli,2222.11,EUR,2026-03-21,False
O00444,Globex,3615.11,USD,2026-04-19,False
O00445,Hooli,1030.18,USD,2026-03-18,False
O00446,Hooli,4949.96,CHF,2026-04-22,True
O00447,Globex,4363.23,EUR,2026-09-12,False
O00448,Umbrella,153.3,CHF,2026-03-19,True
O00449,Umbrella,3556.42,CHF,2026-03-17,False
O00450,Globex,3317.12,EUR,2026-02-27,False
O00451,Hooli,3794.68,EUR,2026-02-19,True
O00452,Globex,1449.96,CHF,2026-07-19,False
O00453,Umbrella,4223.37,USD,2026-03-18,True
O00454,ACME,1839.24,CHF,2026-06-23,True
O00455,Umbrella,1249.62,USD,2026-06-13,True
O00456,Initech,585.01,CHF,2026-04-11,False
O00457,ACME,3046.56,USD,2026-04-19,True
O00458,Umbrella,3694.23,CHF,2026-05-15,True
O00459,Hooli,2494.48,CHF,2026-05-23,False
O00460,ACME,568.24,CHF,2026-05-11,True
O00461,Globex,3408.53,EUR,2026-06-16,False
O00462,ACME,2092.01,CHF,2026-07-17,False
O00463,Hooli,458.77,USD,2026-08-20,False
O00464,Hooli,280.96,CHF,2026-04-23,True
O00465,Umbrella,3811.99,EUR,2026-09-18,True
O00466,Hooli,826.84,CHF,2026-04-27,False
O00467,Globex,4818.4,EUR,2026-06-21,False
O00468,ACME,1015.04,USD,2026-03-14,False
O00469,Umbrella,1196.98,EUR,2026-01-26,False
O00470,Globex,4679.86,USD,2026-05-14,True
O00471,Hooli,2820.71,USD,2026-02-27,False
O00472,Globex,3388.36,EUR,2026-08-22,True
O00473,ACME,3453.75,EUR,2026-06-25,True
O00474,ACME,311.06,USD,2026-05-16,True
O00475,Initech,2245.61,EUR,2026-03-20,False
O00476,Umbrella,2850.24,USD,2026-03-27,True
O00477,ACME,63.96,USD,2026-02-20,False
O00478,ACME,3229.09,USD,2026-08-16,False
O00479,ACME,1802.88,EUR,2026-05-18,True
O00480,ACME,701.88,EUR,2026-01-22,True
O00481,Initech,1845.76,CHF,2026-09-15,True
O00482,Initech,3714.19,USD,2026-07-15,False
O00483,Initech,1158.83,EUR,2026-09-21,False
O00484,Globex,298.03,EUR,2026-07-11,True
O00485,Umbrella,2120.67,CHF,2026-03-19,True
O00486,Globex,3443.04,EUR,2026-03-24,False
O00487,ACME,4895.4,USD,2026-08-16,True
O00488,Initech,23.98,CHF,2026-09-23,True
O00489,Initech,369.25,EUR,2026-09-23,False
O00490,ACME,2199.08,CHF,2026-03-15,False
O00491,Initech,30.93,CHF,2026-06-28,True
O00492,Umbrella,434.36,USD,2026-09-24,False
O00493,Hooli,4544.45,EUR,2026-07-12,True
O00494,Initech,3049.65,USD,2026-07-21,False
O00495,Globex,1503.57,USD,2026-09-10,True
O00496,Globex,3396.63,USD,2026-02-14,False
O00497,Hooli,2908.03,USD,2026-06-26,True
O00498,Hooli,2212.43,USD,2026-02-17,True
O00499,Globex,2745.09,EUR,2026-04-18,True
O00500,Globex,2658.57,USD,2026-08-17,False
O00501,Globex,2710.72,CHF,2026-02-26,True
O00502,Umbrella,3400.67,USD,2026-03-26,True
O00503,Hooli,519.45,CHF,2026-07-27,True
O00504,Globex,2819.54,EUR,2026-03-21,True
O00505,Umbrella,1192.14,USD,2026-01-10,True
O00506,Umbrella,1506.65,CHF,2026-03-23,True
O00507,Hooli,4943.21,EUR,2026-02-21,True
O00508,Initech,3729.72,USD,2026-01-18,True
O00509,Globex,1871.34,CHF,2026-09-21,False
O00510,ACME,4084.56,USD,2026-02-21,False
O00511,Hooli,573.72,CHF,2026-04-18,False
O00512,Globex,3472.7,EUR,2026-08-13,True
O00513,Umbrella,560.98,USD,2026-03-14,False
O00514,Umbrella,4182.67,CHF,2026-05-27,False
O00515,Umbrella,78.87,USD,2026-03-25,False
O00516,ACME,4004.27,EUR,2026-02-15,False
O00517,Umbrella,4837.97,CHF,2026-08-22,True
O00518,Hooli,2589.82,USD,2026-06-26,True
O00519,Initech,4470.98,CHF,2026-01-16,True
O00520,Initech,3638.96,USD,2026-08-22,False
O00521,Initech,39.88,CHF,2026-08-20,True
O00522,ACME,1251.21,CHF,2026-01-14,True
O00523,Initech,1928.31,EUR,2026-09-18,False
O00524,Hooli,2871.9,CHF,2026-03-11,True
O00525,Globex,3873.75,CHF,2026-02-21,False
O00526,Globex,4365.34,EUR,2026-02-19,False
O00527,Initech,2549.45,CHF,2026-04-21,False
O00528,Initech,311.64,USD,2026-06-25,False
O00529,Globex,4048.0,USD,2026-03-14,True
O00530,ACME,4444.94,CHF,2026-08-22,False
O00531,Umbrella,2847.95,USD,2026-03-28,True
O00532,Globex,1514.43,USD,2026-05-28,False
O00533,ACME,4606.91,CHF,2026-02-28,True
O00534,Initech,2906.6,USD,2026-06-23,True
O00535,Umbrella,1603.09,EUR,2026-05-18,True
